Study	Sample	Normal_or_Tumor	Coverage	Notes
Liu et al.	EC1000_T	Tumor	exome	N/A
Liu et al.	EC1001_T	Tumor	exome	N/A
Liu et al.	EC1016_T	Tumor	exome	N/A
Liu et al.	EC1020_T	Tumor	exome	N/A
Liu et al.	EC1021_T	Tumor	exome	N/A
Liu et al.	EC1029_T	Tumor	exome	N/A
Liu et al.	EC1071_T	Tumor	exome	N/A
Liu et al.	EC1110_T	Tumor	exome	N/A
Liu et al.	EC1111_T	Tumor	exome	N/A
Liu et al.	EC1113_T	Tumor	exome	N/A
Liu et al.	EC1117_T	Tumor	exome	N/A
Liu et al.	EC1119_T	Tumor	exome	N/A
Liu et al.	EC1120_T	Tumor	exome	N/A
Liu et al.	EC1125_T	Tumor	exome	N/A
Liu et al.	EC1126_T	Tumor	exome	N/A
Liu et al.	EC1134_T	Tumor	exome	N/A
Liu et al.	EC1155_T	Tumor	exome	N/A
Liu et al.	EC1158_T	Tumor	exome	N/A
Liu et al.	EC949_T	Tumor	exome	N/A
Liu et al.	EC952_T	Tumor	exome	N/A
Liu et al.	EC959_T	Tumor	exome	N/A
Liu et al.	EC961_T	Tumor	exome	N/A
Liu et al.	EC966_T	Tumor	exome	N/A
Liu et al.	EC988_T	Tumor	exome	N/A
Liu et al.	EC990_T	Tumor	exome	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D1	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D10	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D11	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D12	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D13	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D14	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D15	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D16	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D17	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D18	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D19	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D2	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D20	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D21	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D3	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D4	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D5	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D7	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D8	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D9	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F1	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F10	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F100	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F101	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F102	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F103	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F104	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F105	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F106	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F107	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F108	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F109	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F11	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F110	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F111	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F113	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F114	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F115	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F116	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F117	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F118	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F119	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F12	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F120	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F13	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F14	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F15	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F16	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F17	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F18	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F19	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F2	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F20	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F21	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F22	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F23	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F24	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F25	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F26	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F27	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F28	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F29	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F3	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F30	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F31	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F32	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F33	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F34	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F35	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F36	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F37	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F38	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F39	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F4	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F40	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F41	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F42	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F43	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F44	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F45	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F46	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F47	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F48	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F49	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F5	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F50	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F51	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F52	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F53	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F54	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F55	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F56	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F57	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F58	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F59	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F6	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F60	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F61	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F62	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F63	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F64	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F66	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F67	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F68	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F69	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F7	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F70	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F71	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F72	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F73	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F74	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F75	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F76	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F77	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F78	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F79	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F8	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F80	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F81	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F82	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F83	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F84	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F85	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F86	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F87	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F89	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F9	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F90	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F91	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F92	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F93	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F94	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F95	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F96	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F97	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F98	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F99	Tumor	targeted	N/A
Li et al.	ICGC;ESCC_BICR_001T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_002T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_003T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_004T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_005T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_006T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_007T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_008T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_009T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_010T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_011T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_012T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_013T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_014T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_015T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_016T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_017T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_018T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_019T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_020T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_021T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_022T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_023T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_024T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_025T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_026T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_027T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_028T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_029T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_030T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_031T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_032T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_033T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_034T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_035T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_036T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_037T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_038T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_039T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_040T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_041T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_042T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_043T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_044T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_045T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_046T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_047T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_048T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_049T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_050T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_051T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_052T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_053T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_054T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_055T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_056T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_057T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_058T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_059T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_060T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_061T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_062T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_063T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_064T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_065T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_066T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_067T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_068T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_069T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_070T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ESCC_BICR_071T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G002T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G003T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G004T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G005T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G006T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G007T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G008T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G009T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G010T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G011T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G012T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G013T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G014T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G015T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G016T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G017T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G018T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G019T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G020T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G021T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G022T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G023T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G024T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G025T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G026T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G027T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G028T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G029T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G030T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G031T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G032T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G033T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G034T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G035T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G036T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G037T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G038T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G039T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G040T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G041T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G042T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G043T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G044T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G045T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G046T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G047T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G048T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G050T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G051T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G052T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G054T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G055T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G056T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G057T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G059T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G060T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G062T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G063T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G064T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G066T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G067T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G068T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G069T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G070T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G071T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G072T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G073T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G074T	Tumor	exome	originally from ICGC
Li et al.	ICGC;ZZUFHECRKL-G075T	Tumor	exome	originally from ICGC
Yuan et al.	P10Tumor	Tumor	exome	N/A
Yuan et al.	P10_N1	Normal	exome	N/A
Yuan et al.	P1Tumor	Tumor	exome	N/A
Yuan et al.	P1_N1	Normal	exome	N/A
Yuan et al.	P1_N2	Normal	exome	N/A
Yuan et al.	P1_N3	Normal	exome	N/A
Yuan et al.	P1_N4	Normal	exome	N/A
Yuan et al.	P2Tumor	Tumor	exome	N/A
Yuan et al.	P2_N1	Normal	exome	N/A
Yuan et al.	P2_N2	Normal	exome	N/A
Yuan et al.	P2_N3	Normal	exome	N/A
Yuan et al.	P2_N4	Normal	exome	N/A
Yuan et al.	P2_N5	Normal	exome	N/A
Yuan et al.	P3Tumor	Tumor	exome	N/A
Yuan et al.	P3_N3	Normal	exome	N/A
Yuan et al.	P4Tumor	Tumor	exome	N/A
Yuan et al.	P4_N1	Normal	exome	N/A
Yuan et al.	P4_N2	Normal	exome	N/A
Yuan et al.	P4_N3	Normal	exome	N/A
Yuan et al.	P4_N4	Normal	exome	N/A
Yuan et al.	P4_N5	Normal	exome	N/A
Yuan et al.	P4_N6	Normal	exome	N/A
Yuan et al.	P5Tumor	Tumor	exome	N/A
Yuan et al.	P5_N1	Normal	exome	N/A
Yuan et al.	P5_N2	Normal	exome	N/A
Yuan et al.	P5_N3	Normal	exome	N/A
Yuan et al.	P5_N4	Normal	exome	N/A
Yuan et al.	P5_N5	Normal	exome	N/A
Yuan et al.	P6Tumor	Tumor	exome	N/A
Yuan et al.	P6_N1	Normal	exome	N/A
Yuan et al.	P6_N3	Normal	exome	N/A
Yuan et al.	P6_N6	Normal	exome	N/A
Yuan et al.	P7Tumor	Tumor	exome	N/A
Yuan et al.	P7_N1	Normal	exome	N/A
Yuan et al.	P7_N2	Normal	exome	N/A
Yuan et al.	P7_N3	Normal	exome	N/A
Yuan et al.	P7_N4	Normal	exome	N/A
Yuan et al.	P8Tumor	Tumor	exome	N/A
Yuan et al.	P8_N1	Normal	exome	N/A
Yuan et al.	P8_N2	Normal	exome	N/A
Yuan et al.	P9Tumor	Tumor	exome	N/A
Yuan et al.	P9_N1	Normal	exome	N/A
Yuan et al.	P9_N2	Normal	exome	N/A
Yuan et al.	P9_N3	Normal	exome	N/A
Martincorena et al.	PD30272ab	Normal	targeted	N/A
Martincorena et al.	PD30272ac	Normal	targeted	N/A
Martincorena et al.	PD30272ad	Normal	targeted	N/A
Martincorena et al.	PD30272ae	Normal	targeted	N/A
Martincorena et al.	PD30272af	Normal	targeted	N/A
Martincorena et al.	PD30272ag	Normal	targeted	N/A
Martincorena et al.	PD30272ah	Normal	targeted	N/A
Martincorena et al.	PD30272aj	Normal	targeted	N/A
Martincorena et al.	PD30272ak	Normal	targeted	N/A
Martincorena et al.	PD30272al	Normal	targeted	N/A
Martincorena et al.	PD30272am	Normal	targeted	N/A
Martincorena et al.	PD30272an	Normal	targeted	N/A
Martincorena et al.	PD30272ao	Normal	targeted	N/A
Martincorena et al.	PD30272ap	Normal	targeted	N/A
Martincorena et al.	PD30272aq	Normal	targeted	N/A
Martincorena et al.	PD30272ar	Normal	targeted	N/A
Martincorena et al.	PD30272as	Normal	targeted	N/A
Martincorena et al.	PD30272at	Normal	targeted	N/A
Martincorena et al.	PD30272au	Normal	targeted	N/A
Martincorena et al.	PD30272av	Normal	targeted	N/A
Martincorena et al.	PD30272aw	Normal	targeted	N/A
Martincorena et al.	PD30272ax	Normal	targeted	N/A
Martincorena et al.	PD30272ay	Normal	targeted	N/A
Martincorena et al.	PD30272az	Normal	targeted	N/A
Martincorena et al.	PD30272b	Normal	targeted	N/A
Martincorena et al.	PD30272bb	Normal	targeted	N/A
Martincorena et al.	PD30272bc	Normal	targeted	N/A
Martincorena et al.	PD30272bd	Normal	targeted	N/A
Martincorena et al.	PD30272be	Normal	targeted	N/A
Martincorena et al.	PD30272bf	Normal	targeted	N/A
Martincorena et al.	PD30272bj	Normal	targeted	N/A
Martincorena et al.	PD30272bk	Normal	targeted	N/A
Martincorena et al.	PD30272bl	Normal	targeted	N/A
